City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
525,West Bay,KY,82.06,broken clouds,19.3667,-81.4167,Calypso Cove
526,Richards Bay,ZA,78.12,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
527,Micoud,LC,84.18,few clouds,13.8167,-60.9,Zamacà
528,Davila,PH,75.18,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
530,Saint-Paul,RE,81.73,overcast clouds,-21.0096,55.2707,Boucan Canot
531,Honiara,SB,77.95,overcast clouds,-9.4333,159.95,Heritage Park Hotel
540,Tucuman,AR,89.6,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
541,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
543,Souillac,MU,80.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
544,Luau,AO,75.85,light rain,-10.7073,22.2247,Casa- Bernardo Cândido
545,Bambanglipuro,ID,76.41,overcast clouds,-7.95,110.2833,Puri Brata
547,Ca Mau,VN,76.3,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
550,Mana,GF,81.5,scattered clouds,5.6592,-53.7767,LE SAMANA
553,Odweyne,SO,77.23,broken clouds,9.4092,45.064,Eng Hiirey House
557,Nouakchott,MR,87.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN
560,Ouadda,CF,85.41,overcast clouds,8.0777,22.4007,
563,Marang,MY,78.71,broken clouds,5.2056,103.2059,DBarakah Homestay
566,Natal,BR,88.02,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
568,Puerto Carreno,CO,84.18,few clouds,6.189,-67.4859,Casa Hotel Victoria
570,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
572,Barra Do Bugres,BR,87.98,clear sky,-15.0725,-57.1811,Hotel 4AM Petrofurt
574,Urucara,BR,88.68,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
575,Finschhafen,PG,79.99,overcast clouds,-6.6024,147.8681,Cossam Guest House
584,Afua,BR,80.76,moderate rain,-0.1567,-50.3867,Hotel Dias
586,Teluknaga,ID,83.17,few clouds,-6.0989,106.6381,Bale Ocasa hotel
587,Sechura,PE,76.98,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
588,Voh,NC,76.57,few clouds,-20.9667,164.7,Le gîte du Koniambo
591,Alindao,CF,87.1,overcast clouds,5.0267,21.2088,OCHA Alindao
593,Bubaque,GW,81.19,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
595,Bom Jesus,BR,78.71,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
599,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
601,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
604,Champerico,GT,89.76,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
607,Kathu,TH,85.69,broken clouds,7.9178,98.3332,Novotel Phuket Resort
609,Pemba,MZ,86.7,light rain,-12.974,40.5178,Guesthouse Samotina
612,Valparaiso,CL,77.23,clear sky,-33.0393,-71.6273,Hotel Ultramar
624,Tarauaca,BR,91.94,few clouds,-8.1614,-70.7656,Flat Temporada
626,Cabinda,AO,86.14,few clouds,-5.55,12.2,Hotel Maiombe
629,Cubara,CO,87.35,overcast clouds,7.0008,-72.1085,Hotel Los Amigos
631,Imbituba,BR,89.49,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
632,Gwanda,ZW,82.99,broken clouds,-20.9333,29.0,Mafax Homeways
634,Itarema,BR,87.73,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
637,Kokopo,PG,77.23,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
640,Caravelas,BR,84.4,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
643,Ampanihy,MG,78.69,clear sky,-24.7,44.75,Angora Hotel
644,Grand-Santi,GF,84.13,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
646,Jacareacanga,BR,81.09,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
648,Sal Rei,CV,80.8,clear sky,16.1833,-22.9167,Marine Club Beach Resort
649,Quelimane,MZ,87.75,scattered clouds,-17.8786,36.8883,Hotel Flamingo
651,Capitao Poco,BR,83.8,broken clouds,-1.7464,-47.0594,Hotel New Tokyo
656,Gurupi,BR,79.16,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
658,Calvinia,ZA,81.9,clear sky,-31.4707,19.776,Die Lemoenhuis
663,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
664,Kudahuvadhoo,MV,81.39,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
666,Impfondo,CG,86.52,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
677,Makasar,ID,77.05,scattered clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
679,Sao Joao De Pirabas,BR,81.1,heavy intensity rain,-0.7747,-47.1772,POUSADA SOL E MAR
