City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Opuwo,NA,-18.0607,13.84,91.04,14,52,18.37,broken clouds
302,Grand Gaube,MU,-20.0064,57.6608,80.38,67,80,1.01,broken clouds
303,Aklavik,CA,68.2191,-135.0107,-20.2,69,75,6.91,broken clouds
304,Pryazha,RU,61.6926,33.6216,-1.17,99,99,4.47,overcast clouds
305,Kahului,US,20.8947,-156.47,76.84,86,1,0.0,light rain
306,Ust-Kuyga,RU,70.0167,135.6,-32.22,99,100,4.94,light snow
307,Kedougou,SN,12.5579,-12.1743,95.58,17,0,6.91,clear sky
308,Srednekolymsk,RU,67.45,153.6833,-21.78,94,93,14.61,overcast clouds
309,Neiafu,TO,-18.65,-173.9833,77.68,100,90,9.22,overcast clouds
310,Tahoua,NE,14.8888,5.2692,78.78,17,92,14.97,dust
311,Umarkot,PK,25.3616,69.7362,72.55,31,73,6.6,broken clouds
312,Cidreira,BR,-30.1811,-50.2056,82.33,66,77,9.62,broken clouds
313,Abu Dhabi,AE,24.4667,54.3667,75.31,71,0,5.75,clear sky
314,Prestea,GH,5.4327,-2.1428,90.18,46,100,5.64,overcast clouds
315,Flinders,AU,-34.5833,150.8552,70.81,86,41,1.99,scattered clouds
316,Pahrump,US,36.2083,-115.9839,39.18,24,45,3.09,scattered clouds
317,Stornoway,GB,58.2093,-6.3865,37.36,76,75,5.99,broken clouds
318,Bismarck,US,46.8083,-100.7837,18.46,92,40,6.91,scattered clouds
319,Poum,NC,-20.2333,164.0167,80.2,76,87,8.01,overcast clouds
320,Yakeshi,CN,49.2833,120.7333,-28.53,100,41,3.24,scattered clouds
321,Pilar,BR,-9.5972,-35.9567,84.13,54,93,11.07,overcast clouds
322,Wukari,NG,7.85,9.7833,91.87,13,67,9.19,broken clouds
323,Fare,PF,-16.7,-151.0167,78.73,79,100,10.6,light rain
324,Mahon,ES,39.8885,4.2658,54.16,82,90,5.75,overcast clouds
325,Ostrovnoy,RU,68.0531,39.5131,15.71,84,100,16.64,light snow
326,Vostok,RU,46.4856,135.8833,-11.96,99,100,3.49,overcast clouds
327,Ukiah,US,39.1502,-123.2078,47.82,90,90,12.66,overcast clouds
328,Springfield,US,37.2153,-93.2982,25.2,80,0,3.0,clear sky
329,Lavrentiya,RU,65.5833,-171.0,-1.44,99,86,2.66,overcast clouds
330,Saint-Joseph,RE,-21.3667,55.6167,81.21,75,80,8.86,broken clouds
331,Karratha,AU,-20.7377,116.8463,84.81,60,19,14.88,light rain
332,San Quintin,MX,30.4833,-115.95,55.89,54,32,6.8,scattered clouds
333,Uusikaupunki,FI,60.8004,21.4084,32.52,99,100,5.7,overcast clouds
334,Dinar,TR,38.065,30.1656,46.18,45,50,1.77,scattered clouds
335,Malanje,AO,-9.5402,16.341,71.31,90,99,6.44,light rain
336,Seymchan,RU,62.8833,152.4333,-32.08,100,75,1.7,broken clouds
337,Eslov,SE,55.8393,13.3039,44.74,91,89,14.45,overcast clouds
338,Sidi Ali,DZ,36.0998,0.4206,61.45,53,7,0.98,clear sky
339,Bandarbeyla,SO,9.4942,50.8122,78.17,78,73,9.48,broken clouds
340,Bintulu,MY,3.1667,113.0333,77.41,88,40,1.01,scattered clouds
341,Nioro,GM,13.35,-15.75,96.3,7,82,8.66,broken clouds
342,Waingapu,ID,-9.6567,120.2641,79.56,83,100,5.44,overcast clouds
343,Petropavlovka,RU,50.6114,105.3196,-8.84,94,25,3.53,scattered clouds
344,Tayu,ID,-6.5397,111.0518,74.8,80,100,8.81,overcast clouds
345,Constitucion,CL,-35.3333,-72.4167,69.46,68,7,11.59,clear sky
