City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Rezzato,IT,2021-12-28 15:21:10,45.5142,10.3167,49.28,91,90,1.01
217,Kruszwica,PL,2021-12-28 15:21:11,52.6756,18.3313,27.32,100,100,14.41
218,Izhma,RU,2021-12-28 15:21:11,65.0083,53.9113,-3.17,98,100,3.6
219,Moussoro,TD,2021-12-28 15:14:33,13.6408,16.4901,86.22,11,20,14.76
220,Lagoa,PT,2021-12-28 15:21:12,39.05,-27.9833,65.21,83,100,37.56
221,Chuy,UY,2021-12-28 15:21:12,-33.6971,-53.4616,81.1,36,0,5.66
222,San Patricio,US,2021-12-28 15:21:12,28.017,-97.5169,75.07,77,3,11.39
223,Touros,BR,2021-12-28 15:21:13,-5.1989,-35.4608,88.7,59,42,15.39
224,Naze,JP,2021-12-28 15:21:13,28.3667,129.4833,57.25,71,100,5.41
225,Codrington,AU,2021-12-28 15:21:14,-38.2667,141.9667,52.65,91,3,8.5
226,San Cristobal,VE,2021-12-28 15:21:14,7.7669,-72.225,71.78,59,100,4.03
227,Maniitsoq,GL,2021-12-28 15:21:14,65.4167,-52.9,14.77,57,28,6.24
228,Sfantu Gheorghe,RO,2021-12-28 15:17:40,45.8667,25.7833,36.27,96,100,0.87
229,Killybegs,IE,2021-12-28 15:21:15,54.6333,-8.45,46.11,83,46,6.04
230,Paranaiba,BR,2021-12-28 15:21:15,-19.6772,-51.1908,91.35,43,69,5.88
231,Faanui,PF,2021-12-28 15:22:16,-16.4833,-151.75,79.75,74,100,6.93
232,Komatipoort,ZA,2021-12-28 15:22:16,-25.4332,31.9548,100.06,19,3,4.63
233,Khorixas,NA,2021-12-28 15:21:19,-20.3667,14.9667,89.96,8,5,16.84
234,La Grande,US,2021-12-28 15:20:52,45.3246,-118.0877,18.57,93,100,4.85
235,Milkovo,RU,2021-12-28 15:22:17,54.7167,158.6167,2.34,97,86,2.71
236,Nove Mesto Pod Smrkem,CZ,2021-12-28 15:22:17,50.9249,15.2294,33.69,93,87,7.25
237,Basoko,CD,2021-12-28 15:22:18,1.2391,23.616,79.12,69,100,0.85
238,Dzerzhinsk,RU,2021-12-28 15:19:08,56.2389,43.4631,-4.18,84,0,4.47
239,Garachine,PA,2021-12-28 15:22:18,8.0647,-78.3628,79.72,84,100,5.03
240,Kulhudhuffushi,MV,2021-12-28 15:22:19,6.6221,73.07,81.07,68,62,12.55
241,Healdsburg,US,2021-12-28 15:22:19,38.6105,-122.8692,40.1,84,90,1.01
242,Biltine,TD,2021-12-28 15:22:19,14.5333,20.9167,88.65,13,7,9.53
243,Japura,ID,2021-12-28 15:22:20,-0.3167,102.35,73.98,94,100,1.21
244,Maraa,BR,2021-12-28 15:22:20,-1.8333,-65.3667,87.84,60,81,5.77
245,Mareeba,AU,2021-12-28 15:22:20,-17.0,145.4333,71.44,97,100,3.91
246,Vanavara,RU,2021-12-28 15:22:21,60.34,102.2797,-28.5,100,15,1.66
247,Pasighat,IN,2021-12-28 15:22:21,28.0667,95.3333,59.16,51,73,4.25
248,Ancud,CL,2021-12-28 15:14:19,-41.8697,-73.8203,67.53,66,8,4.47
249,Sosnogorsk,RU,2021-12-28 15:22:21,63.6023,53.8817,-3.64,96,100,5.35
250,Carutapera,BR,2021-12-28 15:22:22,-1.195,-46.02,86.2,61,38,9.57
251,Turbat,PK,2021-12-28 15:22:23,26.0023,63.044,69.28,39,0,5.93
